V01_RESPID,V07_PROVINCE,V08_SEX,V09_RURAL,V16_NUMPEOPLE,V17_PEOPLE18,V20_MARITAL,V21_MTHRTONGUE,V29_RESPEDUC,V30_RESPAGE,V36_TENURE,V43_SOCCLASS,V64_DRINK,V65_DRINK1,V68_DRINK8,V70_DRINKPROB,
308,5,2,0,6,6,2,2,4,55,1,8,1,1,0,2,
309,5,1,0,6,4,1,2,6,20,1,5,2,8,8,2,
310,5,2,0,6,4,2,2,3,46,1,8,2,8,8,2,
311,5,1,0,4,2,2,2,4,35,1,5,1,2,0,2,
312,5,2,0,9,5,2,2,4,30,1,8,1,1,0,1,
313,5,1,0,2,2,2,2,3,51,2,5,1,0,0,2,
314,5,1,0,2,2,2,3,2,38,2,4,1,1,0,1,
315,5,2,0,5,4,1,3,4,21,1,6,2,8,8,2,
316,5,1,0,3,2,2,3,1,41,1,5,1,0,0,2,
317,5,2,0,3,1,3,2,3,36,2,2,1,7,0,1,
318,5,1,0,3,3,1,3,2,49,1,4,1,2,0,2,
319,5,1,0,2,2,1,2,3,27,2,6,1,0,0,1,
320,5,2,0,1,1,1,2,4,36,2,5,1,1,0,2,
321,5,1,0,4,2,2,2,1,47,1,3,2,8,8,2,
322,5,2,0,4,3,2,1,1,42,1,3,1,2,0,1,
323,5,1,0,1,1,1,2,3,19,2,2,1,2,0,2,
324,5,2,0,3,2,2,2,3,37,2,6,1,0,0,1,
325,5,1,0,4,3,2,3,3,46,1,5,1,1,0,2,
326,5,2,0,3,3,2,2,4,50,1,5,1,2,0,2,
327,5,1,0,4,2,2,3,3,36,1,5,1,7,0,1,
328,5,1,0,2,2,1,1,4,38,1,5,1,1,0,1,
329,5,1,0,3,3,1,2,7,24,2,6,1,5,2,2,
330,5,1,0,2,2,2,2,5,53,2,5,1,1,0,2,
331,5,1,0,3,2,1,2,5,33,2,7,1,3,0,1,
332,5,1,0,2,2,2,2,3,69,2,5,1,7,0,2,
333,5,1,0,4,2,2,2,4,42,2,6,1,2,0,2,
334,5,1,0,2,2,2,2,1,69,1,5,2,8,8,2,
335,5,1,0,6,4,1,2,5,18,1,8,2,8,8,2,
336,5,2,0,6,4,2,2,3,55,1,8,1,1,0,1,
337,5,2,0,2,2,3,2,1,69,2,5,1,7,0,2,
338,5,2,0,2,2,2,2,4,57,1,8,1,0,0,2,
339,5,2,0,1,1,1,2,4,25,2,5,1,0,0,1,
340,5,1,0,3,3,2,2,1,61,2,5,1,7,0,2,
341,5,2,0,2,2,2,2,4,65,1,5,1,0,0,2,
342,5,1,0,2,2,2,2,3,31,2,3,1,1,0,2,
343,5,1,0,4,2,2,2,4,32,2,6,1,5,0,1,
344,5,1,0,6,3,2,2,3,45,2,7,1,3,0,2,
345,5,1,0,4,2,2,2,1,44,1,7,1,2,1,2,
346,5,2,0,3,2,2,2,8,39,1,8,1,4,0,1,
347,5,2,0,3,2,2,2,4,32,1,9,1,1,0,2,
348,5,2,0,2,2,2,1,5,60,1,4,1,7,0,2,
349,5,1,0,4,2,2,2,6,46,1,5,1,7,0,2,
350,5,1,0,4,2,1,2,3,15,1,5,2,8,8,2,
351,5,1,0,4,2,1,2,5,20,1,6,1,1,0,1,
352,5,1,0,3,2,2,1,8,56,1,6,1,2,0,1,
353,5,1,0,4,2,1,1,5,20,1,5,1,0,0,2,
354,5,1,0,4,2,2,1,8,40,1,5,2,8,8,2,
355,5,2,0,3,2,2,2,3,34,1,5,1,1,0,2,
356,5,1,0,4,3,2,2,8,48,1,6,1,2,0,1,
357,5,1,0,2,2,2,1,3,70,1,5,1,0,0,2,
358,5,1,0,2,2,1,2,4,22,2,5,1,1,0,2,
359,5,2,0,2,2,2,2,5,56,2,5,1,0,0,2,
360,5,2,0,2,2,3,3,4,52,2,6,1,0,0,2,
361,5,1,0,5,2,2,3,4,31,2,1,1,0,0,2,
362,5,1,0,2,2,3,1,4,64,2,3,1,7,7,1,
363,5,1,0,6,5,1,2,8,24,1,7,1,0,0,1,
364,5,1,0,2,2,1,2,4,19,2,3,2,8,8,1,
365,5,1,0,2,2,1,2,3,32,2,3,1,3,0,1,
366,5,1,0,2,2,3,2,6,58,2,6,2,8,8,1,
367,5,2,0,5,3,2,2,1,40,2,6,1,1,0,2,
368,5,1,0,2,2,2,2,4,55,2,6,2,8,8,2,
369,5,1,0,3,2,2,2,8,26,2,6,2,8,8,2,
370,5,1,0,3,3,1,3,7,20,2,5,2,8,8,2,
371,5,1,0,3,3,1,3,7,21,2,5,1,2,0,2,
372,5,1,0,2,2,1,3,7,22,2,5,1,1,0,1,
373,5,1,0,2,2,1,3,7,20,2,5,1,1,0,2,
374,5,1,0,2,2,2,3,7,30,2,3,2,8,8,2,
375,5,2,0,2,2,1,1,4,20,2,5,1,2,0,1,
376,5,2,0,6,2,2,3,4,31,1,5,1,1,0,2,
377,5,2,0,3,3,2,2,3,56,2,5,1,2,0,1,
378,5,1,0,3,3,2,2,8,38,1,8,1,7,0,1,
379,5,2,0,3,3,2,1,8,38,1,5,1,0,0,1,
